numberOfFeatures,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
20,0.7066666666666667,0.7466666666666667,0.7333333333333333,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.7466666666666667,0.7333333333333333,0.64,0.7061965811965812,0.7437511238985794,0.732142857142857,0.6389730789802104,0.7555555555555555,0.7466666666666667,10.462222222222222,13.546666666666667,266.95017900427916,387.292889771261,0.36363636363636365,0.040000000000000036,0.05694594858945283,-0.1369459485894528
20,0.68,0.72,0.6666666666666666,0.64,1.0,1.0,1.0,0.8,0.68,0.72,0.6666666666666666,0.64,0.6753246753246753,0.7181964573268921,0.6579091406677613,0.6389730789802104,0.7155555555555555,0.7466666666666667,10.435555555555556,14.11111111111111,250.88705452121047,367.60442955464134,0.3076923076923077,0.039999999999999925,0.06445895931066313,-0.1444589593106631
20,0.7066666666666667,0.7466666666666667,0.68,0.64,1.0,0.9955555555555555,1.0,0.8,0.7066666666666667,0.7466666666666667,0.68,0.64,0.7040889526542324,0.7420814479638009,0.6794871794871795,0.6389730789802104,0.7333333333333333,0.7288888888888889,10.484444444444444,13.364444444444445,263.96216256314233,358.8007470927212,0.36363636363636365,0.040000000000000036,0.05694594858945283,-0.1369459485894528
20,0.72,0.7466666666666667,0.6933333333333334,0.64,1.0,1.0,1.0,0.8,0.72,0.7466666666666667,0.6933333333333334,0.64,0.7149321266968325,0.7400109469074986,0.691358024691358,0.6389730789802104,0.76,0.7555555555555555,10.253333333333334,15.20888888888889,263.3344462779104,344.351304893201,0.07142857142857142,0.026666666666666727,0.08110138738573765,-0.13443472071907098
20,0.6933333333333334,0.7466666666666667,0.72,0.64,1.0,1.0,1.0,0.8,0.6933333333333334,0.7466666666666667,0.72,0.64,0.691358024691358,0.7400109469074986,0.7167775579931668,0.6389730789802104,0.7244444444444444,0.7555555555555555,9.933333333333334,14.408888888888889,251.27931543743486,355.78818732394166,0.6428571428571429,0.053333333333333344,0.054990835237594474,-0.16165750190426104
20,0.7066666666666667,0.72,0.72,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.72,0.72,0.64,0.7023809523809523,0.7181964573268921,0.7167775579931668,0.6389730789802104,0.7022222222222222,0.72,9.564444444444444,12.906666666666666,271.17140939160697,371.7763088820804,0.0,0.013333333333333308,0.08319364192256407,-0.10986030858923068
20,0.72,0.72,0.6666666666666666,0.64,1.0,0.9955555555555555,1.0,0.8,0.72,0.72,0.6666666666666666,0.64,0.7167775579931668,0.7181964573268921,0.6628304261823412,0.6389730789802104,0.7466666666666667,0.7377777777777778,10.11111111111111,13.102222222222222,272.5962080757737,375.3188072366311,0.1,0.0,0.09244085618573362,-0.09244085618573362
20,0.7466666666666667,0.6933333333333334,0.7333333333333333,0.64,1.0,1.0,1.0,0.8,0.7466666666666667,0.6933333333333334,0.7333333333333333,0.64,0.7437511238985794,0.691358024691358,0.7309899569583931,0.6389730789802104,0.7377777777777778,0.7733333333333333,10.444444444444445,12.373333333333333,290.36769145239765,324.63708665120896,0.75,-0.053333333333333344,0.1544630085236589,-0.04779634185699222
20,0.68,0.68,0.76,0.64,1.0,1.0,1.0,0.8,0.68,0.68,0.76,0.64,0.6771879483500718,0.6785714285714286,0.7578909612625537,0.6389730789802104,0.7333333333333333,0.7333333333333333,9.68,12.88,245.10243671135888,367.6434888418561,0.16666666666666666,0.0,0.07381333194473372,-0.07381333194473372
20,0.72,0.6933333333333334,0.68,0.64,1.0,1.0,1.0,0.8,0.72,0.6933333333333334,0.68,0.64,0.7181964573268921,0.691358024691358,0.6753246753246753,0.6389730789802104,0.7644444444444445,0.7466666666666667,11.066666666666666,13.92,243.87632958753497,346.6640186647247,0.08333333333333333,-0.026666666666666616,0.1271961403375339,-0.07386280700420056
20,0.6666666666666666,0.6933333333333334,0.72,0.64,1.0,1.0,1.0,0.8,0.6666666666666666,0.6933333333333334,0.72,0.64,0.664519592055824,0.689803992087754,0.7167775579931668,0.6389730789802104,0.7422222222222222,0.7555555555555555,10.102222222222222,14.168888888888889,257.6489203589401,376.3251861526872,0.08333333333333333,0.026666666666666727,0.07386280700420056,-0.1271961403375339
20,0.7066666666666667,0.76,0.6933333333333334,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.76,0.6933333333333334,0.64,0.7040889526542324,0.7578909612625537,0.69245854876092,0.6389730789802104,0.7333333333333333,0.7511111111111111,9.622222222222222,13.306666666666667,250.96156970964694,351.85379718904574,0.75,0.053333333333333344,0.04779634185699225,-0.15446300852365888
20,0.6666666666666666,0.6933333333333334,0.72,0.64,1.0,1.0,1.0,0.8,0.6666666666666666,0.6933333333333334,0.72,0.64,0.664519592055824,0.69245854876092,0.7181964573268921,0.6389730789802104,0.7555555555555555,0.7822222222222223,10.0,15.373333333333333,258.32495425092594,383.44642264037094,0.125,0.026666666666666727,0.05729554034032677,-0.11062887367366012
20,0.72,0.76,0.72,0.64,1.0,1.0,1.0,0.8,0.72,0.76,0.72,0.64,0.7167775579931668,0.7589285714285714,0.7192012836512748,0.6389730789802104,0.76,0.7644444444444445,9.937777777777777,14.244444444444444,252.49218873002238,380.80237930835347,0.5714285714285714,0.040000000000000036,0.039532430841833624,-0.11953243084183364
20,0.72,0.6933333333333334,0.72,0.64,1.0,1.0,1.0,0.8,0.72,0.6933333333333334,0.72,0.64,0.7167775579931668,0.691358024691358,0.7181964573268921,0.6389730789802104,0.7244444444444444,0.7511111111111111,9.426666666666666,14.066666666666666,260.1532961153264,400.5352332512333,0.05,-0.026666666666666616,0.15349421163571003,-0.1001608783023768
20,0.7333333333333333,0.68,0.7466666666666667,0.64,1.0,1.0,1.0,0.8,0.7333333333333333,0.68,0.7466666666666667,0.64,0.7294372294372294,0.6771879483500718,0.7420814479638009,0.6389730789802104,0.7288888888888889,0.7555555555555555,9.982222222222223,14.284444444444444,272.28387745824716,358.65205733987256,0.6428571428571429,-0.05333333333333323,0.1616575019042611,-0.05499083523759442
20,0.72,0.7333333333333333,0.7066666666666667,0.64,1.0,1.0,1.0,0.8,0.72,0.7333333333333333,0.7066666666666667,0.64,0.7167775579931668,0.732142857142857,0.7040889526542324,0.6389730789802104,0.72,0.7777777777777778,10.6,15.093333333333334,263.4267457474295,385.6127318093128,0.0,0.013333333333333308,0.08319364192256401,-0.10986030858923074
20,0.68,0.6933333333333334,0.72,0.64,1.0,0.9955555555555555,1.0,0.8,0.68,0.6933333333333334,0.72,0.64,0.6729651162790697,0.691358024691358,0.7149321266968325,0.6389730789802104,0.72,0.7555555555555555,9.893333333333333,13.764444444444445,264.113226974435,386.37671344481123,0.0,0.013333333333333308,0.09074004816568394,-0.11740671483235067
20,0.7466666666666667,0.7466666666666667,0.6533333333333333,0.64,1.0,0.9955555555555555,1.0,0.8,0.7466666666666667,0.7466666666666667,0.6533333333333333,0.64,0.7420814479638009,0.7400109469074986,0.6527777777777779,0.6389730789802104,0.7333333333333333,0.7777777777777778,10.084444444444445,14.315555555555555,277.9472889793383,394.57369110091076,0.1,0.0,0.09244085618573362,-0.09244085618573362
20,0.72,0.76,0.7066666666666667,0.64,1.0,0.9955555555555555,1.0,0.8,0.72,0.76,0.7066666666666667,0.64,0.7167775579931668,0.7525659824046922,0.7053571428571429,0.6389730789802104,0.7644444444444445,0.7288888888888889,10.186666666666667,13.377777777777778,239.9014757160325,404.7091513515147,0.36363636363636365,0.040000000000000036,0.0569459485894528,-0.1369459485894528
20,0.6933333333333334,0.76,0.68,0.64,1.0,0.9955555555555555,1.0,0.8,0.6933333333333334,0.76,0.68,0.64,0.691358024691358,0.7547238372093024,0.6771879483500718,0.6389730789802104,0.7555555555555555,0.7555555555555555,10.444444444444445,14.582222222222223,265.9362994637605,394.3247730096825,1.0666666666666667,0.06666666666666665,0.0454657184176117,-0.17879905175094502
20,0.68,0.7333333333333333,0.6933333333333334,0.64,1.0,1.0,1.0,0.8,0.68,0.7333333333333333,0.6933333333333334,0.64,0.6753246753246753,0.732142857142857,0.69245854876092,0.6389730789802104,0.7155555555555555,0.76,9.813333333333333,14.444444444444445,258.6062840159342,390.9664161491907,0.9,0.05333333333333323,0.03998437346078397,-0.14665104012745067
20,0.6933333333333334,0.72,0.7066666666666667,0.64,1.0,1.0,1.0,0.8,0.6933333333333334,0.72,0.7066666666666667,0.64,0.691358024691358,0.7181964573268921,0.7053571428571429,0.6389730789802104,0.72,0.76,9.457777777777778,13.768888888888888,278.2380024864895,341.91461313167855,0.125,0.026666666666666616,0.05729554034032677,-0.11062887367366012
20,0.6933333333333334,0.68,0.68,0.64,1.0,1.0,1.0,0.8,0.6933333333333334,0.68,0.68,0.64,0.691358024691358,0.6785714285714286,0.6785714285714286,0.6389730789802104,0.7288888888888889,0.7422222222222222,9.413333333333334,14.133333333333333,261.6119042836588,368.61105869276633,0.0,-0.013333333333333308,0.10159138591440885,-0.07492471924774223
20,0.7333333333333333,0.6533333333333333,0.7066666666666667,0.64,1.0,1.0,1.0,0.8,0.7333333333333333,0.6533333333333333,0.7066666666666667,0.64,0.7309899569583931,0.650286944045911,0.7040889526542324,0.6389730789802104,0.72,0.7644444444444445,9.266666666666667,14.831111111111111,259.6520687823108,371.813992232803,1.7857142857142858,-0.07999999999999996,0.18924411540603542,-0.029244115406035387
