numberOfFeatures,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
20,0.7066666666666667,0.7333333333333333,0.6666666666666666,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.7333333333333333,0.6666666666666666,0.64,0.7061965811965812,0.732142857142857,0.664519592055824,0.6389730789802104,0.7422222222222222,0.7466666666666667,8.093333333333334,8.657777777777778,173.84115740117517,188.8662547197684,0.16666666666666666,0.026666666666666616,0.047430539539559155,-0.1007638728728925
20,0.6933333333333334,0.7066666666666667,0.76,0.64,1.0,1.0,1.0,0.8,0.6933333333333334,0.7066666666666667,0.76,0.64,0.69245854876092,0.7023809523809523,0.7564935064935063,0.6389730789802104,0.76,0.7555555555555555,9.604444444444445,8.417777777777777,211.18047447366632,173.53963554934217,0.0,0.013333333333333308,0.06567478607900577,-0.0923414527456725
20,0.7066666666666667,0.6533333333333333,0.6933333333333334,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.6533333333333333,0.6933333333333334,0.64,0.7053571428571429,0.650286944045911,0.691358024691358,0.6389730789802104,0.7333333333333333,0.7111111111111111,7.791111111111111,8.364444444444445,188.55443250691408,170.8228943410723,0.9,-0.053333333333333344,0.14665104012745067,-0.03998437346078397
20,0.72,0.6666666666666666,0.68,0.64,1.0,1.0,1.0,0.8,0.72,0.6666666666666666,0.68,0.64,0.7192012836512748,0.6657158138705651,0.6771879483500718,0.6389730789802104,0.76,0.7422222222222222,8.48,8.804444444444444,195.0584313712061,189.24390010752407,0.9,-0.053333333333333344,0.14665104012745067,-0.03998437346078397
20,0.7066666666666667,0.7066666666666667,0.6933333333333334,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.7066666666666667,0.6933333333333334,0.64,0.7040889526542324,0.7061965811965812,0.691358024691358,0.6389730789802104,0.7644444444444445,0.7511111111111111,8.635555555555555,9.142222222222221,177.31813248352,191.78512240263387,0.16666666666666666,0.0,0.07381333194473372,-0.07381333194473372
20,0.7066666666666667,0.7066666666666667,0.7066666666666667,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.7066666666666667,0.7066666666666667,0.64,0.7040889526542324,0.7053571428571429,0.7040889526542324,0.6389730789802104,0.7066666666666667,0.7288888888888889,8.746666666666666,8.253333333333334,192.63207455169106,171.99499842433843,0.1,0.0,0.09244085618573362,-0.09244085618573362
20,0.7066666666666667,0.6933333333333334,0.72,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.6933333333333334,0.72,0.64,0.7061965811965812,0.69245854876092,0.7167775579931668,0.6389730789802104,0.7333333333333333,0.7333333333333333,7.831111111111111,7.817777777777778,167.30302260017692,208.93304072783997,0.0,-0.013333333333333308,0.068498070168767,-0.04183140350210026
20,0.7066666666666667,0.72,0.72,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.72,0.72,0.64,0.7023809523809523,0.7192012836512748,0.7167775579931668,0.6389730789802104,0.7466666666666667,0.7333333333333333,9.213333333333333,8.235555555555555,184.55986846506167,188.18748351622025,0.0,0.013333333333333308,0.0549804391511884,-0.08164710581785502
20,0.76,0.6933333333333334,0.68,0.64,1.0,1.0,1.0,0.8,0.76,0.6933333333333334,0.68,0.64,0.7578909612625537,0.691358024691358,0.6785714285714286,0.6389730789802104,0.7155555555555555,0.7555555555555555,8.724444444444444,7.613333333333333,200.42489758538713,161.1106847157963,3.2,-0.06666666666666665,0.13681901480595554,-0.0034856814726222235
20,0.7066666666666667,0.7066666666666667,0.6666666666666666,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.7066666666666667,0.6666666666666666,0.64,0.7053571428571429,0.7040889526542324,0.6664294609500088,0.6389730789802104,0.7288888888888889,0.7333333333333333,8.013333333333334,8.382222222222222,175.40073451495306,178.4355928788379,0.125,0.0,0.08371622886003376,-0.08371622886003376
20,0.6666666666666666,0.72,0.72,0.64,1.0,1.0,1.0,0.8,0.6666666666666666,0.72,0.72,0.64,0.6657158138705651,0.7167775579931668,0.7192012836512748,0.6389730789802104,0.7555555555555555,0.7422222222222222,8.697777777777778,8.551111111111112,182.96854170821018,195.980699779128,1.5,0.053333333333333344,0.0216080736495044,-0.1282747403161711
20,0.68,0.72,0.6533333333333333,0.64,1.0,1.0,1.0,0.8,0.68,0.72,0.6533333333333333,0.64,0.6771879483500718,0.7198007471980075,0.6517857142857142,0.6389730789802104,0.6888888888888889,0.7422222222222222,8.36,8.497777777777777,192.44866236732486,173.67923976643817,0.5714285714285714,0.039999999999999925,0.03953243084183365,-0.11953243084183361
20,0.7066666666666667,0.7066666666666667,0.68,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.7066666666666667,0.68,0.64,0.7040889526542324,0.7040889526542324,0.6785714285714286,0.6389730789802104,0.7777777777777778,0.7333333333333333,8.897777777777778,8.24,176.33027923991378,197.18537926295593,0.25,0.0,0.06206666666666667,-0.06206666666666667
20,0.7733333333333333,0.68,0.7066666666666667,0.64,1.0,1.0,1.0,0.8,0.7733333333333333,0.68,0.7066666666666667,0.64,0.7707246898039921,0.6794871794871795,0.7053571428571429,0.6389730789802104,0.7644444444444445,0.76,8.80888888888889,8.471111111111112,174.83646076576971,179.91327079633518,5.142857142857143,-0.09333333333333327,0.1754303077078098,0.011236358958856912
20,0.72,0.6933333333333334,0.7066666666666667,0.64,1.0,1.0,1.0,0.8,0.72,0.6933333333333334,0.7066666666666667,0.64,0.7167775579931668,0.691358024691358,0.7061965811965812,0.6389730789802104,0.7466666666666667,0.7155555555555555,8.964444444444444,8.146666666666667,170.64399389406452,205.65839534992165,0.125,-0.026666666666666616,0.11062887367366012,-0.05729554034032677
20,0.7066666666666667,0.7066666666666667,0.7066666666666667,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.7066666666666667,0.7066666666666667,0.64,0.7061965811965812,0.7040889526542324,0.7061965811965812,0.6389730789802104,0.7333333333333333,0.7733333333333333,8.955555555555556,9.08,189.28438917570853,191.16554312665565,0.16666666666666666,0.0,0.07381333194473372,-0.07381333194473372
20,0.7333333333333333,0.6933333333333334,0.68,0.64,1.0,1.0,1.0,0.8,0.7333333333333333,0.6933333333333334,0.68,0.64,0.7309899569583931,0.691358024691358,0.6771879483500718,0.6389730789802104,0.7377777777777778,0.6977777777777778,8.484444444444444,7.884444444444444,180.5822650946831,185.1924115159071,0.8,-0.039999999999999925,0.10893298308802705,-0.028932983088026984
20,0.7066666666666667,0.7066666666666667,0.6933333333333334,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.7066666666666667,0.6933333333333334,0.64,0.7040889526542324,0.7053571428571429,0.69245854876092,0.6389730789802104,0.7422222222222222,0.7644444444444445,8.831111111111111,8.937777777777777,164.19738965745478,180.26977154601573,0.16666666666666666,0.0,0.07381333194473372,-0.07381333194473372
20,0.6933333333333334,0.7066666666666667,0.7333333333333333,0.64,1.0,1.0,1.0,0.8,0.6933333333333334,0.7066666666666667,0.7333333333333333,0.64,0.691358024691358,0.7040889526542324,0.7309899569583931,0.6389730789802104,0.7288888888888889,0.7466666666666667,9.493333333333334,8.786666666666667,194.56220448404073,169.21941351215102,0.0,0.013333333333333308,0.08319364192256407,-0.10986030858923068
20,0.7066666666666667,0.72,0.7066666666666667,0.64,1.0,1.0,1.0,0.8,0.7066666666666667,0.72,0.7066666666666667,0.64,0.7040889526542324,0.7192012836512748,0.7061965811965812,0.6389730789802104,0.7377777777777778,0.7288888888888889,8.617777777777778,8.19111111111111,180.0342097816083,197.468555932088,0.0,0.013333333333333308,0.06567478607900577,-0.0923414527456725
20,0.72,0.68,0.68,0.64,1.0,1.0,1.0,0.8,0.72,0.68,0.68,0.64,0.7167775579931668,0.6771879483500718,0.6785714285714286,0.6389730789802104,0.7377777777777778,0.7511111111111111,8.084444444444445,8.68,180.5680084766931,187.36648466173673,0.4444444444444444,-0.039999999999999925,0.1287209359633636,-0.04872093596336352
