numberOfFeatures,test accuracy_modify,training accuracy_modify,micro f1_modify,macro f1_modify,oobscore_modify,strength_modify,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9696132596685083,0.9970717423133236,0.9696132596685083,0.9247546363198458,0.9670571010248902,4.0541727672035135,2.077698346809248,0.0,-0.0027624309392264568,0.11287266231343304,-0.10734780043498002
1,0.9723756906077348,0.9963396778916545,0.9723756906077348,0.8842488716956802,0.9597364568081991,4.050512445095168,2.2132193758240963,0.1,0.0,0.11512172434787299,-0.11512172434787299
1,0.9723756906077348,0.9978038067349927,0.9723756906077348,0.9071313473752498,0.9612005856515373,4.039531478770132,2.2275790939048323,0.08333333333333333,0.0,0.11675590929743095,-0.11675590929743095
1,0.9723756906077348,0.9970717423133236,0.9723756906077348,0.9154654116959564,0.9626647144948756,4.092972181551977,2.221039972410824,0.16666666666666666,0.0,0.11126243065153324,-0.11126243065153324
1,0.9723756906077348,0.9934114202049781,0.9723756906077348,0.9503423590273264,0.95900439238653,4.081259150805271,2.315420246196821,0.16666666666666666,0.0,0.11126243065153324,-0.11126243065153324
1,0.9613259668508287,0.9941434846266471,0.9613259668508287,0.8830455494423105,0.9685212298682284,4.109077598828697,2.04038939072823,1.125,-0.011049723756906049,0.1244061055426107,-0.10230665802879854
1,0.9613259668508287,0.9948755490483162,0.9613259668508287,0.8621118923423623,0.9633967789165446,4.107613469985359,2.132283930702396,1.125,-0.011049723756906049,0.1244061055426107,-0.10230665802879854
1,0.9723756906077348,0.9934114202049781,0.9723756906077348,0.886585934198262,0.9663250366032211,4.073206442166911,2.22434526976536,0.08333333333333333,0.0,0.11675590929743095,-0.11675590929743095
1,0.9640883977900553,0.9956076134699854,0.9640883977900553,0.8849317007390937,0.9612005856515373,4.089311859443631,2.113810802302574,0.3076923076923077,-0.008287292817679481,0.12582772046317378,-0.10925313482781468
1,0.9723756906077348,0.9963396778916545,0.9723756906077348,0.9084558865935384,0.9633967789165446,4.095168374816984,2.0821824148590204,0.08333333333333333,0.0,0.11675590929743095,-0.11675590929743095
1,0.9723756906077348,0.9985358711566618,0.9723756906077348,0.8934298009647516,0.9648609077598829,4.0666178623718885,2.097311306448955,0.07142857142857142,0.0,0.11825869745325118,-0.11825869745325118
1,0.9640883977900553,0.9985358711566618,0.9640883977900553,0.8976463831289064,0.9553440702781845,4.086383601756955,2.0764066904964498,0.23529411764705882,-0.008287292817679481,0.12862760817862767,-0.11205302254326854
1,0.9723756906077348,0.9941434846266471,0.9723756906077348,0.9010009971999154,0.9612005856515373,3.9963396778916547,2.441599480053722,0.08333333333333333,0.0,0.11675590929743095,-0.11675590929743095
1,0.9751381215469613,0.9948755490483162,0.9751381215469613,0.9105601155190758,0.95900439238653,4.0790629575402635,2.2954536183606113,0.0,0.002762430939226568,0.11148315559357172,-0.11700801747202474
1,0.9696132596685083,0.9926793557833089,0.9696132596685083,0.9054973067118816,0.9568081991215227,4.016837481698389,2.3809764810742906,0.0,-0.0027624309392264568,0.11700801747202474,-0.11148315559357172
1,0.9613259668508287,0.9963396778916545,0.9613259668508287,0.8797009151273147,0.9626647144948756,4.095168374816984,2.233855443972348,1.5,-0.011049723756906049,0.12236091350911873,-0.10026146599530658
